"Source:","C:/Users/josefe/Dropbox/etsit/TFG/PCB/IRS2092_board_H61M/IRS2092_board_H61M.sch"
"Date:","19/03/2018 21:19:15"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","94"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C2","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C3","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C4","100n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C5","2n2","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C6","2n2","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C7","1n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C8","100n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C9","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C10","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C11","100n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C12","1u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C13","22u","device:CP","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"","","C14","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C15","100n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C16","47u","device:CP","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"","","C17","100n","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","C18","1u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C19","100n","device:C","Capacitors_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT",""
"","","C20","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C21","680u","device:CP","Capacitors_THT:CP_Radial_D30.0mm_P10.00mm_SnapIn",""
"","","C22","100n","device:C","Capacitors_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT",""
"","","C23","680u","device:CP","Capacitors_THT:CP_Radial_D30.0mm_P10.00mm_SnapIn",""
"","","C24","100n","device:C","Capacitors_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT",""
"","","C25","100n","device:C","Capacitors_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT",""
"","","C26","10u","device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"","","C27","100n","device:C","Capacitors_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT",""
"","","C28","680n","device:C","Capacitors_THT:C_Rect_L16.5mm_W8.9mm_P15.00mm_MKT",""
"","","C29","100n","device:C","Capacitors_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT",""
"","","C30","C","device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"","","D1","1N4007","diode:1N4007","Diodes_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"","","D2","18V","device:D_Zener","Diodes_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"","","D3","MUR120","ir_audio_mosfets:MUR120","Diodes_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
